(1.0, (45, 25), None)
(8.82842712474619, (37, 27), (38, 26))
(8.82842712474619, (37, 23), (38, 24))
(8.82842712474619, (47, 17), (46, 18))
(9.0, (43, 17), (44, 18))
(9.0, (36, 25), (37, 25))
(9.071067811865476, (45, 16), (45, 17))
(9.071067811865476, (38, 20), (39, 21))
(9.242640687119284, (40, 18), (41, 19))
(9.242640687119284, (37, 28), (38, 28))
(9.242640687119284, (37, 22), (38, 22))
(9.242640687119284, (48, 17), (48, 18))
(9.242640687119284, (42, 17), (42, 18))
(9.242640687119284, (37, 28), (38, 28))
(9.242640687119284, (37, 22), (38, 22))
(9.242640687119284, (48, 17), (48, 18))
(9.414213562373096, (42, 17), (42, 18))
(9.414213562373096, (36, 26), (37, 25))
(9.414213562373096, (36, 24), (37, 25))
(9.414213562373096, (46, 16), (45, 17))
(9.485281374238571, (44, 16), (45, 17))
(9.485281374238571, (38, 19), (39, 20))
(9.65685424949238, (39, 18), (40, 19))
(9.65685424949238, (37, 29), (38, 28))
(9.65685424949238, (37, 21), (38, 22))
(9.65685424949238, (49, 17), (48, 18))
(9.82842712474619, (41, 17), (42, 18))
(9.82842712474619, (36, 27), (37, 27))
(9.82842712474619, (36, 23), (37, 23))
(9.82842712474619, (47, 16), (47, 17))
(9.82842712474619, (43, 16), (43, 17))
(9.82842712474619, (36, 27), (37, 27))
(9.82842712474619, (36, 23), (37, 23))
(9.82842712474619, (47, 16), (47, 17))
(9.899494936611667, (43, 16), (43, 17))
(10.0, (38, 18), (39, 19))
(10.0, (35, 25), (36, 25))
(10.071067811865476, (45, 15), (45, 16))
(10.071067811865476, (37, 20), (38, 21))
(10.242640687119284, (40, 17), (41, 18))
(10.242640687119284, (36, 28), (37, 28))
(10.242640687119284, (36, 22), (37, 22))
(10.242640687119284, (48, 16), (48, 17))
(10.242640687119284, (42, 16), (42, 17))
(10.242640687119284, (36, 28), (37, 28))
(10.242640687119284, (36, 22), (37, 22))
(10.242640687119284, (48, 16), (48, 17))
(10.414213562373096, (42, 16), (42, 17))
(10.414213562373096, (35, 26), (36, 25))
